('http://movie.mtime.com/125860/', '战国')
('http://movie.mtime.com/228321/', '一念天堂')
('http://movie.mtime.com/206789/', '道士下山')
('http://movie.mtime.com/193463/', '澳门风云')
('http://movie.mtime.com/79340/', '十全九美')
('http://movie.mtime.com/132429/', '白蛇传说')
('http://movie.mtime.com/181912/', '激战')
('http://movie.mtime.com/157240/', '毒战')
('http://movie.mtime.com/229299/', '超级快递')
('http://movie.mtime.com/216587/', '忍者神龟2：破影而出')
('http://movie.mtime.com/131776/', '画壁')
('http://movie.mtime.com/112608/', '斗牛')
('http://movie.mtime.com/45728/', '桃花运')
('http://movie.mtime.com/125326/', '恋爱通告')
('http://movie.mtime.com/204712/', '前任攻略')
('http://movie.mtime.com/139157/', '老男孩')
('http://movie.mtime.com/159249/', '冰封：重生之门')
('http://movie.mtime.com/108169/', '四大名捕')
('http://movie.mtime.com/13638/', '无间道Ⅲ终极无间')
('http://movie.mtime.com/97723/', '功夫梦')
('http://movie.mtime.com/209381/', '放手爱')
('http://movie.mtime.com/200714/', '烈日灼心')
('http://movie.mtime.com/144764/', '爱')
('http://movie.mtime.com/92749/', '机器侠')
('http://movie.mtime.com/112043/', '观音山')
('http://movie.mtime.com/122227/', '王的盛宴')
('http://movie.mtime.com/165028/', '窃听风云3')
('http://movie.mtime.com/13827/', '新龙门客栈')
('http://movie.mtime.com/15586/', '碟中谍3')
('http://movie.mtime.com/81230/', '证人')
('http://movie.mtime.com/242167/', '我不是药神')
('http://movie.mtime.com/219378/', '奔跑吧！兄弟')
('http://movie.mtime.com/220740/', '九条命')
('http://movie.mtime.com/224877/', '龙在哪里？')
('http://movie.mtime.com/107438/', '最爱')
('http://movie.mtime.com/221923/', '滚蛋吧！肿瘤君')
('http://movie.mtime.com/209401/', '闺蜜')
('http://movie.mtime.com/142699/', '逆战')
('http://movie.mtime.com/68787/', '命运呼叫转移')
('http://movie.mtime.com/221682/', '坏蛋必须死')
('http://movie.mtime.com/30446/', '如果·爱')
('http://movie.mtime.com/114655/', '喜羊羊与灰太狼之虎虎生威')
('http://movie.mtime.com/225158/', '睡在我上铺的兄弟')
('http://movie.mtime.com/144762/', '太极1从零开始')
('http://movie.mtime.com/219623/', '恶棍天使')
('http://movie.mtime.com/40205/', '神奇女侠')
('http://movie.mtime.com/126675/', '钢的琴')
('http://movie.mtime.com/236404/', '芳华')
('http://movie.mtime.com/211901/', '变形金刚5：最后的骑士')
('http://movie.mtime.com/13992/', '手机')
('http://movie.mtime.com/134509/', '最强囍事')
('http://movie.mtime.com/204901/', '5月天诺亚方舟')
('http://movie.mtime.com/39823/', '墨攻')
('http://movie.mtime.com/210856/', '勇士之门')
('http://movie.mtime.com/197423/', '被偷走的那五年')
('http://movie.mtime.com/132471/', '101次求婚')
('http://movie.mtime.com/201437/', '京城81号')
('http://movie.mtime.com/212471/', '澳门风云2')
('http://movie.mtime.com/66342/', '硬汉')
('http://movie.mtime.com/131825/', '撒娇女人最好命')
('http://movie.mtime.com/182225/', '快乐大本营之快乐到家')
